:START_ID,:TYPE,:END_ID,wikiID
Q31808206,subclassOf,Q31807746,P279
Q31464082,subclassOf,Q488383,P279
Q1144661,subclassOf,Q2800000,P279
Q618123,subclassOf,Q27096213,P279
Q1566584,subclassOf,Q2457980,P279
Q614379,subclassOf,Q327065,P279
Q7406919,subclassOf,Q451967,P279
Q78987,subclassOf,Q6607,P279
Q1808578,subclassOf,Q19588495,P279
Q23958946,subclassOf,Q35120,P279
Q16686022,subclassOf,Q29651224,P279
Q18819626,subclassOf,Q839546,P279
Q27096220,subclassOf,Q27096213,P279
Q55721745,subclassOf,Q101401,P279
Q57306162,subclassOf,Q230262,P279
Q1639378,subclassOf,Q58778,P279
Q7194062,subclassOf,Q1183543,P279
Q811430,subclassOf,Q35145743,P279
Q41291,subclassOf,Q1194058,P279
Q181055,subclassOf,Q746549,P279
Q2625603,subclassOf,Q55610479,P279
Q83180,subclassOf,Q811430,P279
Q64830866,subclassOf,Q930933,P279
Q16406,subclassOf,Q213441,P279
Q82604,subclassOf,Q1914636,P279
Q11292,subclassOf,Q2904042,P279
Q35145743,subclassOf,Q27096235,P279
Q27096235,subclassOf,Q8205328,P279
Q4167410,instanceOf,Q4656150,P31
Q322481,subclassOf,Q2091629,P279
Q2858615,subclassOf,Q11019,P279
Q213441,subclassOf,Q49416455,P279
Q20011319,subclassOf,Q4936952,P279
Q16889133,subclassOf,Q99527517,P279
Q778637,subclassOf,Q64830866,P279
Q2897903,subclassOf,Q26907166,P279
Q768186,subclassOf,Q16798631,P279
Q101401,subclassOf,Q838948,P279
Q4406616,subclassOf,Q488383,P279
Q956956,subclassOf,Q104602244,P279
Q55721729,subclassOf,Q30038792,P279
Q1370169,subclassOf,Q796635,P279
Q13191,subclassOf,Q3314483,P279
Q838948,subclassOf,Q18593264,P279
Q16325263,subclassOf,Q56147060,P279
Q337060,subclassOf,Q223557,P279
Q1357761,subclassOf,Q223557,P279
Q1194058,subclassOf,Q1681365,P279
Q133163,subclassOf,Q34379,P279
Q746549,subclassOf,Q8205328,P279
Q22809652,subclassOf,Q1836700,P279
Q3054261,subclassOf,Q25519785,P279
Q17320256,subclassOf,Q1293220,P279
Q2002016,subclassOf,Q839546,P279
Q7590,subclassOf,Q17988854,P279
Q796635,subclassOf,Q59095968,P279
Q1246258,subclassOf,Q64418,P279
Q271669,subclassOf,Q12766313,P279
Q56052926,subclassOf,Q17334923,P279
Q16529344,instanceOf,Q82562,P31
Q1475429,instanceOf,Q1333024,P31
Q752870,subclassOf,Q15618781,P279
Q1521410,subclassOf,Q1357761,P279
Q9479,instanceOf,Q811701,P31
Q1823435,subclassOf,Q2424752,P279
Q50414774,subclassOf,Q1333024,P279
Q7590,subclassOf,Q79782,P279
Q144,subclassOf,Q57814795,P279
Q11292,subclassOf,Q184358,P279
Q15710813,subclassOf,Q6671777,P279
Q14524031,subclassOf,Q11460,P279
Q11446,subclassOf,Q1229765,P279
Q1183543,subclassOf,Q16686448,P279
Q39108,instanceOf,Q39367,P31
Q194428,subclassOf,Q42679632,P279
Q173651,instanceOf,Q16521,P31
Q1485500,subclassOf,Q28877,P279
Q2151621,subclassOf,Q268592,P279
Q17205,instanceOf,Q2235308,P31
Q2453629,subclassOf,Q987767,P279
Q1310239,subclassOf,Q15989253,P279
Q1566584,subclassOf,Q21369154,P279
Q1184840,subclassOf,Q42889,P279
Q1681365,subclassOf,Q28877,P279
Q50380212,subclassOf,Q337060,P279
Q16798631,subclassOf,Q2424752,P279
Q16529344,instanceOf,Q55983715,P31
Q27043948,subclassOf,Q66394244,P279
Q210729,subclassOf,Q2424752,P279
Q1144661,subclassOf,Q811979,P279
Q103940464,subclassOf,Q23958946,P279
Q3114762,subclassOf,Q7978115,P279
Q735,subclassOf,Q1914636,P279
Q36161,subclassOf,Q246672,P279
Q4167410,instanceOf,Q14204246,P31
Q19279121,subclassOf,Q42889,P279
Q65037298,subclassOf,Q811909,P279
Q1150070,subclassOf,Q1190554,P279
Q485027,subclassOf,Q50414774,P279
Q303288,subclassOf,Q1483757,P279
Q517596,subclassOf,Q15401930,P279
Q153988,subclassOf,Q851782,P279
Q28845870,subclassOf,Q1310239,P279
Q622852,subclassOf,Q729,P279
Q24017465,instanceOf,Q24027474,P31
Q43806,subclassOf,Q729,P279
Q267228,subclassOf,Q1183543,P279
Q1246258,subclassOf,Q104385260,P279
Q39201,subclassOf,Q57812559,P279
Q2453629,subclassOf,Q851782,P279
Q28845870,subclassOf,Q16686022,P279
Q41176,subclassOf,Q811979,P279
Q7194062,subclassOf,Q42889,P279
Q1454986,subclassOf,Q58778,P279
Q1969349,instanceOf,Q55983715,P31
