:START_ID,:TYPE,:END_ID,wikiID
Q3749263,subclassOf,Q16798631,P279
Q208364,subclassOf,Q3773693,P279
Q80228,subclassOf,Q16896124,P279
Q214609,subclassOf,Q2424752,P279
Q194428,subclassOf,Q628858,P279
Q19588495,subclassOf,Q1051772,P279
Q1194773,subclassOf,Q153556,P279
Q22999537,instanceOf,Q24017414,P31
Q16686022,subclassOf,Q223557,P279
Q82794,subclassOf,Q618123,P279
Q811979,subclassOf,Q811430,P279
Q1087850,subclassOf,Q1823435,P279
Q386724,subclassOf,Q15401930,P279
Q106106,subclassOf,Q2741056,P279
Q1823435,subclassOf,Q1439598,P279
Q605384,subclassOf,Q987767,P279
Q1475429,instanceOf,Q987767,P31
Q1756942,subclassOf,Q130901,P279
Q1301433,subclassOf,Q42889,P279
Q27096213,subclassOf,Q58416391,P279
Q5099323,subclassOf,Q55721745,P279
Q2957687,subclassOf,Q746549,P279
Q1566584,subclassOf,Q838312,P279
Q230629,subclassOf,Q930933,P279
Q728,subclassOf,Q39546,P279
Q3966,subclassOf,Q2424752,P279
Q59095968,subclassOf,Q2184715,P279
Q17205,subclassOf,Q3114762,P279
Q2424752,subclassOf,Q2897903,P279
Q13389713,subclassOf,Q1183543,P279
Q14915034,subclassOf,Q15989253,P279
Q31807746,subclassOf,Q17537576,P279
Q57812611,subclassOf,Q57812559,P279
Q191851,subclassOf,Q838948,P279
Q57815212,subclassOf,Q5113,P279
Q7386,instanceOf,Q16521,P31
